proposal,proposalType,yesCount,noCount,abstainCount,totalVotes
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_12,Treasury Withdrawal,168,20,8,196
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_6,Treasury Withdrawal,176,15,4,195
https://w3id.org/cgov#proposal_89e3a4f09122d669d6f6c82dd894e02826e8497be7eb036233bafc0ee4fc6665_0,Info Action,56,104,34,194
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_18,Treasury Withdrawal,166,20,7,193
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_16,Treasury Withdrawal,156,31,6,193
https://w3id.org/cgov#proposal_4840e305563327358cf70dae5015b2df8f8c35cef03f74521d4f117ac17bc384_0,Info Action,10,148,31,189
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_10,Treasury Withdrawal,150,32,7,189
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_20,Treasury Withdrawal,165,14,10,189
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_23,Treasury Withdrawal,162,18,8,188
https://w3id.org/cgov#proposal_59fd353253eb177e2104e8f23ea4c63e3d32ef95c7865d03e90d3884424dc1db_0,Info Action,154,6,26,186
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_13,Treasury Withdrawal,161,13,10,184
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_14,Treasury Withdrawal,136,38,8,182
https://w3id.org/cgov#proposal_2c7f900b7ff68f317a7b0e42231d4aed36227660baf2ee9a4be7e880eb977313_0,Treasury Withdrawal,151,23,6,180
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_33,Treasury Withdrawal,154,16,7,177
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_31,Treasury Withdrawal,125,41,11,177
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_17,Treasury Withdrawal,140,29,6,175
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_34,Treasury Withdrawal,144,22,6,172
https://w3id.org/cgov#proposal_8ad3d454f3496a35cb0d07b0fd32f687f66338b7d60e787fc0a22939e5d8833e_36,Treasury Withdrawal,142,21,7,170
https://w3id.org/cgov#proposal_996edfe370b8e51be73541e75499a818461305e37c7fa0c1b193f2c587167cc7_0,Info Action,60,41,48,149
https://w3id.org/cgov#proposal_dfdac5921ab657241fce58583d61bef59a369e01d2ba78191d6df6632a07fdfd_0,Parameter Change,39,56,6,101
https://w3id.org/cgov#proposal_2f2fc2539dde550d3c83bea67c11b03861407976bbe8d07c5b0e124aa8a12baa_0,Treasury Withdrawal,71,6,4,81
https://w3id.org/cgov#proposal_e9693ed6b6465b2b46daaf641486a12b4b2946081634b5967b9d98897b0598fa_0,Info Action,8,1,0,9
https://w3id.org/cgov#proposal_b2a591ac219ce6dcca5847e0248015209c7cb0436aa6bd6863d0c1f152a60bc5_0,Parameter Change,7,0,0,7
https://w3id.org/cgov#proposal_51f495aa23f4b3b3aa90afde4a0e67823bb7ac4ac65f5ffbb138373b863f2f74_0,Parameter Change,0,5,0,5
https://w3id.org/cgov#proposal_f35285db3c4e085ad331843b3007737952b8a322bb3216311edc37fdf44ad3da_0,Treasury Withdrawal,2,0,0,2
